date,file,avg_pace_min_per_km,total_distance_km,avg_hr_bpm,avg_power_w,temperature_distribution,hr_smoothness_score,score_band
2026-04-16,2026-04-16_thursday_easy.fit,7.473841554559042,6.02534,148,230,no_temperature_data,91.9184913727848,very_smooth
2026-04-18,2026-04-18_saturday_easy.fit,7.53465943339361,7.00782,155,228,"30°C: 11.2%, 31°C: 64.1%, 32°C: 24.7%",91.98891216099838,very_smooth
2026-04-23,2026-04-23_thursday_easy.fit,7.32922896511287,6.14353,149,236,"29°C: 4.0%, 30°C: 72.3%, 31°C: 23.7%",90.16904547838253,very_smooth
2026-04-25,2026-04-25_saturday_easy.fit,7.345379756133391,5.00692,152,235,"30°C: 42.0%, 31°C: 45.4%, 32°C: 12.6%",90.94338153301771,very_smooth
2026-04-30,2026-04-30_thursday_easy.fit,7.297139521307648,8.24235,152,240,"30°C: 81.6%, 31°C: 18.4%",93.21851486041673,very_smooth
2026-05-02,2026-05-02_saturday_easy.fit,7.322788517867604,10.0105,150,237,"31°C: 48.2%, 32°C: 49.5%, 33°C: 2.3%",93.53162895095326,very_smooth
2026-05-07,2026_05_07_thursday_easy.fit,7.335680751173709,8.19346,149,231,"29°C: 6.5%, 30°C: 82.9%, 31°C: 10.6%",94.18394921817931,very_smooth
2026-05-09,2026-05-09_saturday_easy.fit,7.345379756133391,10.2153,147,232,"29°C: 64.0%, 30°C: 34.3%, 31°C: 1.7%",92.27914670432646,very_smooth
2026-05-14,2026-05-14_thursday_easy.fit,7.49063670411985,10.02703,150,226,"30°C: 53.1%, 31°C: 22.9%, 32°C: 24.0%",90.99355396535216,very_smooth
2026-05-21,2026-05-21_thursday_easy.fit,7.335680751173709,12.27638,151,234,"30°C: 2.0%, 31°C: 55.5%, 32°C: 41.7%, 33°C: 0.9%",91.67179163791685,very_smooth
2026-05-23,2026-05-23_saturday_easy.fit,6.9560378408458545,12.01261,153,246,"30°C: 4.5%, 31°C: 56.3%, 32°C: 39.2%, 33°C: 0.1%",89.35479513457557,very_smooth
2026-05-28,2026-05-28_thursday_easy.fit,7.361601884570084,12.24093,152,241,"30°C: 18.1%, 31°C: 38.1%, 32°C: 23.4%, 33°C: 19.5%, 34°C: 0.9%",93.14181658729049,very_smooth
2026-06-02,2026-06-02_tuesday_easy.fit,7.319572536963841,10.25732,148,245,"30°C: 62.2%, 31°C: 37.8%",93.36500200426326,very_smooth
2026-06-04,2026-06-04_thursday_easy.fit,7.358351729212656,12.23161,144,243,"29°C: 0.1%, 30°C: 70.2%, 31°C: 29.6%, 32°C: 0.1%",90.29005423829963,very_smooth
2026-06-13,2026-06-13_saturday_easy.fit,7.319572536963841,10.0181,146,243,"28°C: 17.0%, 29°C: 64.9%, 30°C: 18.0%, 31°C: 0.1%",91.27263780187872,very_smooth
2026-06-16,2026-06-16_tuesday_easy.fit,7.3324534389206635,12.28206,147,242,"30°C: 55.7%, 31°C: 21.9%, 32°C: 21.3%, 33°C: 1.1%",93.74542456460642,very_smooth
2026-06-23,2026-06-23_tuesday_easy.fit,7.335680751173709,12.27208,143,239,"29°C: 46.7%, 30°C: 29.8%, 31°C: 23.5%",93.62054376194395,very_smooth
2026-06-30,2026-06-30_tuesday_easy.fit,7.358351729212656,12.23322,143,240,"29°C: 8.7%, 30°C: 79.0%, 31°C: 12.2%",92.08972609780078,very_smooth
