date,daily_avg_stress,daily_peak_battery,stress_7day_avg,battery_7day_avg
2026-04-16,39.0,81.0,,
2026-04-17,17.0,94.0,,
2026-04-18,26.0,88.0,27.333333333333332,87.66666666666667
2026-04-19,17.0,90.0,24.75,88.25
2026-04-20,23.0,83.0,24.4,87.2
2026-04-21,20.0,87.0,23.666666666666668,87.16666666666667
2026-04-22,25.0,85.0,23.857142857142858,86.85714285714286
2026-04-23,24.0,85.0,21.714285714285715,87.42857142857143
2026-04-24,15.0,88.0,21.428571428571427,86.57142857142857
2026-04-25,26.0,93.0,21.428571428571427,87.28571428571429
2026-04-26,17.0,84.0,21.428571428571427,86.42857142857143
2026-04-27,17.0,80.0,20.571428571428573,86.0
2026-04-28,22.0,94.0,20.857142857142858,87.0
2026-04-29,26.0,90.0,21.0,87.71428571428571
2026-04-30,21.0,85.0,20.571428571428573,87.71428571428571
2026-05-01,12.0,90.0,20.142857142857142,88.0
2026-05-02,29.0,88.0,20.571428571428573,87.28571428571429
2026-05-03,20.0,83.0,21.0,87.14285714285714
2026-05-04,26.0,71.0,22.285714285714285,85.85714285714286
2026-05-05,24.0,86.0,22.571428571428573,84.71428571428571
2026-05-06,38.0,84.0,24.285714285714285,83.85714285714286
2026-05-07,9.0,79.0,22.571428571428573,83.0
2026-05-08,16.0,100.0,23.142857142857142,84.42857142857143
2026-05-09,20.0,92.0,21.857142857142858,85.0
2026-05-10,8.0,82.0,20.142857142857142,84.85714285714286
2026-05-11,30.0,71.0,20.714285714285715,84.85714285714286
2026-05-12,40.0,83.0,23.0,84.42857142857143
2026-05-13,37.0,85.0,22.857142857142858,84.57142857142857
2026-05-14,27.0,84.0,25.428571428571427,85.28571428571429
2026-05-15,10.0,95.0,24.571428571428573,84.57142857142857
2026-05-16,22.0,90.0,24.857142857142858,84.28571428571429
2026-05-17,22.0,84.0,26.857142857142858,84.57142857142857
2026-05-18,17.0,77.0,25.0,85.42857142857143
2026-05-19,28.0,87.0,23.285714285714285,86.0
2026-05-20,26.0,52.0,21.714285714285715,81.28571428571429
2026-05-21,46.0,74.0,24.428571428571427,79.85714285714286
2026-05-22,33.0,68.0,27.714285714285715,76.0
2026-05-23,28.0,72.0,28.571428571428573,73.42857142857143
2026-05-24,29.0,76.0,29.571428571428573,72.28571428571429
2026-05-25,42.0,70.0,33.142857142857146,71.28571428571429
2026-05-26,47.0,85.0,35.857142857142854,71.0
2026-05-27,44.0,78.0,38.42857142857143,74.71428571428571
2026-05-28,48.0,80.0,38.714285714285715,75.57142857142857
2026-05-29,35.0,38.0,39.0,71.28571428571429
2026-05-30,43.0,56.0,41.142857142857146,69.0
2026-05-31,25.0,75.0,40.57142857142857,68.85714285714286
2026-06-01,32.0,85.0,39.142857142857146,71.0
2026-06-02,50.0,78.0,39.57142857142857,70.0
2026-06-03,40.0,65.0,39.0,68.14285714285714
2026-06-04,66.0,82.0,41.57142857142857,68.42857142857143
2026-06-05,37.0,62.0,41.857142857142854,71.85714285714286
2026-06-06,64.0,84.0,44.857142857142854,75.85714285714286
2026-06-07,33.0,79.0,46.0,76.42857142857143
2026-06-08,21.0,87.0,44.42857142857143,76.71428571428571
2026-06-09,82.0,51.0,49.0,72.85714285714286
2026-06-10,53.0,73.0,50.857142857142854,74.0
2026-06-11,48.0,66.0,48.285714285714285,71.71428571428571
2026-06-12,36.0,73.0,48.142857142857146,73.28571428571429
2026-06-13,62.0,80.0,47.857142857142854,72.71428571428571
2026-06-14,36.0,74.0,48.285714285714285,72.0
2026-06-15,40.0,68.0,51.0,69.28571428571429
2026-06-16,51.0,84.0,46.57142857142857,74.0
2026-06-17,49.0,81.0,46.0,75.14285714285714
2026-06-18,46.0,80.0,45.714285714285715,77.14285714285714
2026-06-19,33.0,70.0,45.285714285714285,76.71428571428571
2026-06-20,65.0,86.0,45.714285714285715,77.57142857142857
2026-06-21,35.0,75.0,45.57142857142857,77.71428571428571
2026-06-22,25.0,81.0,43.42857142857143,79.57142857142857
2026-06-23,46.0,87.0,42.714285714285715,80.0
2026-06-24,35.0,78.0,40.714285714285715,79.57142857142857
2026-06-25,43.0,83.0,40.285714285714285,80.0
2026-06-26,32.0,66.0,40.142857142857146,79.42857142857143
2026-06-27,47.0,83.0,37.57142857142857,79.0
2026-06-28,32.0,77.0,37.142857142857146,79.28571428571429
2026-06-29,32.0,71.0,38.142857142857146,77.85714285714286
2026-06-30,47.0,84.0,38.285714285714285,77.42857142857143
2026-07-01,28.0,81.0,37.285714285714285,77.85714285714286
2026-07-02,46.0,82.0,37.714285714285715,77.71428571428571
2026-07-03,25.0,75.0,36.714285714285715,79.0
2026-07-04,34.0,83.0,34.857142857142854,79.0
2026-07-05,32.0,19.0,34.857142857142854,70.71428571428571
2026-07-06,33.0,65.0,35.0,69.85714285714286
2026-07-07,34.0,83.0,33.142857142857146,69.71428571428571
2026-07-08,26.0,83.0,32.857142857142854,70.0
2026-07-09,43.0,86.0,32.42857142857143,70.57142857142857
