week_start,strength_sessions,total_duration_min,total_repetitions,total_est_load_kg,avg_recovery_cost,avg_training_effect,high_fatigue_sessions,sustainability_flag
2026-04-13,2,130.3,10,0.0,52.6,1.7,0,sustainable
2026-04-20,2,104.7,367,52.0,54.85,1.75,0,sustainable
2026-04-27,2,157.6,757,0.0,62.15,2.3,0,sustainable
2026-05-04,1,71.3,326,0.0,57.9,2.2,0,sustainable
2026-05-11,2,177.8,1179,0.0,66.65,1.5,0,watch_load
2026-05-18,2,111.7,603,0.0,46.05,1.0,0,sustainable
2026-05-25,2,153.2,753,0.0,66.1,1.7,0,watch_load
2026-06-01,2,157.0,1000,0.0,61.5,1.6,0,sustainable
2026-06-08,1,97.0,562,0.0,74.0,2.1,0,watch_load
2026-06-15,2,180.6,1094,0.0,61.1,1.05,0,sustainable
2026-06-22,2,156.4,1065,0.0,59.9,2.0,0,sustainable
2026-06-29,1,98.6,583,0.0,63.4,0.8,0,sustainable
